Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Ji Hazoor,1000,3, ,12noon – 11pm (Mon-Sun),2641,4,Whitefield,2,1,1, ,0,1
Jiffy Cafe,500,1, ,11am – 11pm (Mon-Sun),6,3.4,Hennur,1,1,1, ,0,0
Jigarthanda,300,2, ,11:30am – 11pm (Mon-Sun),12,3.1,Malleshwaram,2,1,0, ,0,1
Jigarthanda,200,3, ,11:30am – 10:30pm (Mon-Sun),9,3.5,BTM,1,1,0, ,0,1
Jimi's Beer Cafe,1700,3, ,11am – 12:30AM (Mon-Sun),792,3.9,Indiranagar,1,1,1,1,1,1
JLT Food Services,450,2, ,"7am – 11pm (Mon-Sat),Closed (Sun)",7,3.3,Marathahalli,1,1,1,1,0,1
JLT Food Services,450,2, ,"7am – 11pm (Mon-Sat),Closed (Sun)",7,3.3,Marathahalli,1,1,1,1,0,1
Jodhpur Sweets,150,3, ,10am – 10pm (Mon-Sun),6,3,Jayanagar,1,1,0,1,0,1
Jodhpur Sweets,100,2, ,8am – 10pm (Mon-Sun),26,3.8,Electronic City,1,1,0, ,0,1
Jodhpur Sweets & Corner,200,3, ,8:30am – 10:30pm (Mon-Sun),18,3.6,BTM,2,0,0, ,0,1
Joey's,300,2, ,"Closed (Mon),11:30am – 10:30pm (Tue-Fri),9am –...",42,3.7,BTM, ,1,0, ,0,1
Johnny Fox,1500,2, ,11am – 11pm (Mon-Sun),45,3.8,Hosur Road,1,1,0, ,0,1
Johny's Kitchen,300,2, ,"9am – 11:30am, 1pm – 3:30pm, 7pm – 11pm...",53,4.1,Jeevan Bhima Nagar, ,1,1, ,0,1
Jonah's,1100,4,3,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...",1727,4.1,Indiranagar,2,1,1, ,1,1
Joon Restaurant,400,5, ,"1pm – 4pm, 6pm – 12midnight (Mon-Sun)",16,3.6,BTM,1,0,0, ,0,1
Jose's Mess,300,2, ,7am – 9:30pm (Mon-Sun),280,4.3,BTM,1,1,0, ,0,1
Joshi's Mumbai Masala,150,2, ,"11:30am – 3:30pm, 5pm – 9:30pm (Mon, Tue, Thu...",5,3.3,Basavanagudi, ,1,0, ,0,1
Joshitha Andra Mess,250,2, ,"12noon – 4pm, 7:30pm – 10:30pm (Mon-Sun)",8,3.3,Electronic City,1,1,0, ,0,1
JP Fish Land,300,1, ,"Closed (Mon),12noon – 4pm, 7pm – 11:30pm (Tue-Sun)",19,3.4,BTM,1,1,1, ,0,1
JS Food Court,400,2, ,9am – 11pm (Mon-Sun),122,3.8,Kammanahalli,1,1,1, ,0,1
Juice & Chaat Cafe,150,2, ,11am – 11pm (Mon-Sun),66,4,Basavanagudi,2,1,0, ,0,1
Juice 99,150,1, ,8am – 11:30pm (Mon-Sun),15,3.3,BTM, ,1,1, ,0,1
Juice Berg,200,1, ,5pm – 10:30pm (Mon-Sun),4,3.3,Sarjapur Road,1,1,0, ,0,1
Juice Berg,150,2, ,9am – 11pm (Mon-Sun),34,3.7,Brookefield,1,1,1, ,0,1
Juice Berg,300,2, ,9am – 11:30pm (Mon-Sun),34,3.7,Brookefield,1,1,1, ,0,1
Juice Buzz,200,1, ,11am – 10pm (Mon-Sun),10,3.2,"Bangalore Central, JP Nagar",1,1,0, ,0,1
Juice Fresco,150,1, ,8am – 10pm (Mon-Sun),13,3.1,Nagawara,1,1,1,3,0,1
Juice Junction,150,2, ,9am – 10pm (Mon-Sun),17,2.8,JP Nagar,1,1,0, ,0,1
Juice Junction,150,1, ,9am – 10pm (Mon-Sun),10,3.4,Bellandur,2,1,0, ,0,1
Juice Junction,150,4, ,9am – 10:15pm (Mon-Sun),17,3.6,"Soul Space Arena Mall, Marathahalli",1,1,0,5,0,1
Juice Junction,150,2, ,9am – 9pm (Mon-Sun),33,3.6,Residency Road,2,1,0, ,0,1
Juice Junction,150,2, ,9am – 10pm (Mon-Sun),17,3.7,HSR,1,1,0, ,0,1
Juice Junction,150,2, ,9am – 9pm (Mon-Sun),66,3.8,Koramangala 5th Block,2,1,1, ,0,1
Juice Junction,150,2, ,9:45am – 10pm (Mon-Sun),96,4,St. Marks Road,1,1,0, ,0,1
Juice Land,300,2, ,11am – 11pm (Mon-Sun),129,3.8,Bannerghatta Road,1,1,1, ,0,1
Juice Point,100,3, ,11am – 11pm (Mon-Sun),6,3.2,Koramangala 1st Block, ,1,0, ,0,1
Juicemaker,200,2, ,8am – 10pm (Mon-Sun),22,3.7,Electronic City,1,1,0,6,0,1
Juicy,150,2, ,9am – 10pm (Mon-Sun),76,3.8,Old Airport Road,1,1,1,4,0,1
Juicy Momos,250,2, ,11am – 11pm (Mon-Sun),15,3.3,"Vega City, Bannerghatta Road",1,1,1,3,0,1
JukeBox,1000,6,1,"10:30am – 11:30pm (Mon-Fri),10am – 11:30pm...",268,3.9,Koramangala 7th Block,2,1,1, ,0,1
Jumeirah Restaurant,800,2,1,11:30am – 11:30pm (Mon-Sun),25,3.4,Hennur,1,1,1, ,0,1
Jumping Beans,700,7,1,"Closed (Mon),12noon – 11pm (Tue-Sun)",199,4.1,Old Madras Road,1,1,1, ,0,1
Jus' Trufs,850,4, ,8:30am – 10:30pm (Mon-Sun),477,4,Sahakara Nagar,2,1,1, ,0,1
Just Bake,100,1, ,10:30am – 11pm (Mon-Sun),119,3.8,Koramangala 5th Block,1,1,1,92,0,1
Just Bunny,200,1, ,1pm – 10:30pm (Mon-Sun),11,3.5,Jayanagar,1,1,0, ,0,1
Just Cakes,350,1, ,8am – 10:30pm (Mon-Sun),21,3.5,Electronic City,1,1,1,2,0,1
Just Chill,250,2, ,10am – 11:30pm (Mon-Sun),53,3.1,BTM,1,1,1, ,0,1
Just Delhiwala,300,1, ,"12:30pm – 3:30pm, 7:30pm – 11pm (Mon-Sun)",76,3.6,Bellandur,1,1,1, ,0,1
Just Dosa,200,1, ,"7am – 12noon, 5pm – 10pm (Mon-Sun)",34,3.7,HSR,1,1,0, ,0,1
Just Eat,400,2, ,10am – 11pm (Mon-Sun),45,2.5,Nagarbhavi,1,1,1, ,0,0
Just Fresh Point,300,8, ,7:30am – 10pm (Mon-Sun),155,4,Electronic City, ,1,1,1,0,1
Just Fresh Point,300,8, ,7:30am – 10pm (Mon-Sun),155,4,Electronic City,1,1,1,1,0,1
Just Khao Suey,500,1, ,"12:30pm – 4pm, 6:30pm – 10:30am...",147,4.1,Indiranagar,1,1,1, ,0,1
Just Momo,200,1, ,5pm – 11pm (Mon-Sun),20,2.8,HSR, ,1,0, ,0,1
Just One More,200,2, , ,18,3.4,Frazer Town,1,0,0, ,0,1
Just Shawarma,250,1, ,1pm – 10pm (Mon-Sun),159,3.9,Electronic City,1,1,1,15,0,1
Just Thindi,200,1, ,7am – 9pm (Mon-Sun),15,3.5,Basavanagudi,1,1,1, ,0,1
Just Yum,600,3, ,"12noon – 4pm, 6:45pm – 11pm (Mon-Sun)",39,3.2,Sarjapur Road,1,1,1, ,0,1
JustBe Cafe,200,3,2,"11am – 10pm (Mon-Thu),11am – 11pm (Fri-Sun)",444,4.4,Sadashiv Nagar,1,1,1, ,1,1
JW Kitchen - JW Marriott Bengaluru,2200,3,2,24 Hours (Mon-Sun),2027,4.4,"JW Marriott Bengaluru, Lavelle Road",1,1,1, ,0,1
K.G.N Kabbab Corner,500,2, ,11am – 11:30pm (Mon-Sun),70,4,Kalyan Nagar,1,1,0, ,0,1
K27 - The Pub,1000,2, ,"10:30am – 11pm (Mon, Tue, Wed, Thu, Sun), 10:30am...",29,3.1,Banashankari,1,1,0, ,0,1
KA 12 - Flavour Of Coorg,500,1, ,"Closed (Mon),12:30pm – 4pm, 7pm – 10:30pm...",101,4,New BEL Road,1,1,1, ,0,1
KA 51 Restocafe,650,2, ,12noon – 11pm (Mon-Sun),38,3.9,Electronic City,1,0,0, ,0,1
KA12 Pork House,250,1, ,11am – 10:30pm (Mon-Sun),17,3.6,Sahakara Nagar,1,1,1, ,0,1
Kaafi Desi,100,2, ,8am – 11pm (Mon-Sun),450,4.2,Marathahalli,1,1,1, ,0,1
Kaapi Katte,150,3, ,6am – 10pm (Mon-Sun),517,4.4,Rajarajeshwari Nagar,1,1,0,2,0,1
Kaapi Kuteera,100,1, ,7am – 9pm (Mon-Sun),61,3.5,Kanakapura Road,1,1,1, ,0,1
Kaaram,500,2, ,12noon – 11pm (Mon-Sun),298,4,"Eat Street, Koramangala 6th Block",1,1,1,1,0,1
Kaati Zone,350,4,1,11am – 11pm (Mon-Sun),243,3.8,Malleshwaram,1,1,1,5,0,1
Kaayal,500,1, ,"12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",259,3.2,Brookefield,1,1,1,1,0,1
Kabab Factory,500,3, ,"12noon – 11:30pm (Mon-Sat),7:30am – 11:30pm (Sun)",97,3.7,Nagarbhavi,1,1,1, ,0,1
Kabab Ghar,600,3, ,10:30am – 10:30pm (Mon-Sun),13,3.3,Bommanahalli,1,1,1,2,0,0
Kabab King,500,2, ,11:30am – 10:30pm (Mon-Sun),36,3.1,Uttarahalli,1,1,0, ,0,1
Kabab Korner,500,3, ,12noon – 11pm (Mon-Sun),191,3.8,St. Marks Road,1,1,1, ,0,1
Kabab Magic,400,3,1,12:30pm – 11pm (Mon-Sun),842,4,Jayanagar,1,1,1,10,0,1
Kabab Mandra,300,2, ,11am – 11pm (Mon-Sun),15,3.5,Whitefield,1,1,0,3,0,1
Kabab Manor,400,3, ,12:30pm – 11pm (Mon-Sun),160,3.8,RT Nagar,1,1,1, ,1,1
Kabab Mehal,400,2, ,12noon – 10:45pm (Mon-Sun),141,3.6,Kanakapura Road,1,1,1, ,0,1
Kabab Mehal,400,3, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",202,3.8,JP Nagar,1,1,0,1,0,0
Kabab Mirchi,350,3, ,11am – 11pm (Mon-Sun),90,3.6,Marathahalli,1,1,0,1,0,1
Kabab Nation Corner,500,3, ,11am – 11pm (Mon-Sun),66,3.6,Brigade Road, ,1,1, ,0,1
Kabab Palace,500,2, ,"12noon – 4pm, 6pm – 11pm (Mon-Sun)",58,3.7,Rajajinagar,1,1,1, ,0,1
Kabab Souq,400,2, ,11am – 11pm (Mon-Sun),276,3.7,Thippasandra,1,1,1,2,0,0
Kababish Restaurant,700,3, ,11am – 11pm (Mon-Sun),10,3.5,BTM,1,1,0, ,0,1
Kabsa House,500,1, ,1pm – 10pm (Mon-Sun),21,3.5,Kalyan Nagar,1,1,0, ,0,1
Kadai,450,2, ,12noon – 11pm (Mon-Sun),67,3.6,Basaveshwara Nagar, ,1,1, ,0,1
Kadai Crust - Amma Veetu Samayal,700,3, ,11:45am – 1am (Mon-Sun),259,3.8,Indiranagar,1,1,1, ,0,1
Kadal Da Meen,900,2, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",87,3.9,HSR,1,1,1, ,0,1
Kadala Tarangaa,300,4,1,"11:30am – 3:45pm, 6:15pm – 11:30pm...",35,3.7,Basavanagudi,1,1,1,1,0,0
Kadala Teera,500,3, ,1pm – 10:30pm (Mon-Sun),16,3.5,Sarjapur Road,1,0,0, ,0,1
Kadalu Sea Food Restaurant,500,8, ,11am – 11:30pm (Mon-Sun),138,3.6,Vijay Nagar, ,1,1, ,0,1
Kadamba Foodline,400,3, ,11:30am – 10:30pm (Mon-Sun),27,3.7,Ulsoor,1,1,1, ,0,1
Kadamba Gardenia,400,1, ,11am – 11pm (Mon-Sun),56,3,Jalahalli,1,1,0, ,0,1
Kadamba Veg,400,3, ,6:30am – 10:30pm (Mon-Sun),83,3.8,Mysore Road,1,1,0, ,0,1
Kadavu Shappu Currys,400,3, ,7am – 10:30pm (Mon-Sun),30,2.7,Bommanahalli,1,0,0, ,0,1
Kaggis,250,2, ,7:30am – 10pm (Mon-Sun),62,3.8,Banashankari,1,1,0,2,0,1
Kaifu,700,3,1,"11am – 11pm (Mon-Sat),11:30am – 11:30pm (Sun)",325,4.2,New BEL Road,1,1,1, ,0,1
Kailash Parbat,600,2, ,11am – 11pm (Mon-Sun),113,2.9,"Orion Mall, Malleshwaram",1,1,0,4,0,1
Kairali,250,2, ,8am – 11pm (Mon-Sun),159,3.9,BTM,1,1,1, ,0,1
Kairali Restaurant,200,1, ,"8am – 3:30pm, 7pm – 10:30pm (Mon-Fri),8am –...",85,3.8,Bellandur,1,1,1, ,0,0
Kaizen Wellness Kitchen,800,3, ,8am – 9pm (Mon-Sun),36,3.7,JP Nagar,1,1,1, ,0,1
Kaka Singh,400,1, ,"12noon – 3:30pm, 6pm – 10:30pm (Mon-Sun)",41,2.6,Bellandur,1,1,1, ,0,1
Kaka-T-Cafe,400,2, ,7am – 11pm (Mon-Sun),56,4,HSR,1,1,0, ,0,1
Kakaji,350,1, ,"11:30am – 4pm, 7pm – 11pm (Mon-Sun)",203,3.7,Whitefield,1,1,1,1,0,1
Kakal Kai Ruchi,450,3, ,"11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",36,3.5,Kanakapura Road,1,1,0,1,0,1
Kakal-Kai Ruchi,500,3, ,7am – 10:30pm (Mon-Sun),214,3.7,JP Nagar,1,1,1,1,0,1
Kalavara,150,2, ,8am – 10pm (Mon-Sun),12,3.4,CV Raman Nagar,2,1,1, ,0,1
Kalingas,250,2, ,7am – 11pm (Mon-Sun),124,3.6,BTM,1,1,1, ,0,1
Kalmane Koffees,350,1, ,9:30am – 9:30pm (Mon-Sun),362,4.1,"Forum Mall, Koramangala",1,1,0,5,0,1
Kalpavriksha Upahara,350,3, ,6:30am – 10:30pm (Mon-Sun),119,3.9,Jayanagar,1,1,0, ,0,1
Kalpavruksha Naati Mane,250,1, ,"Closed (Mon),11:30am – 3:30pm (Tue-Sun)",38,3.7,CV Raman Nagar,1,1,0, ,0,1
Kamakshi Kitchen,350,2, ,7:30am – 10pm (Mon-Sun),22,3.7,Marathahalli,1,0,0, ,0,1
Kamat Bugle Rock,300,2, ,7am – 10pm (Mon-Sun),525,3.8,Basavanagudi,1,1,1, ,0,1
Kamat Hotel,450,3, ,7am – 10pm (Mon-Sun),56,3.4,Shivajinagar,1,1,0,2,0,1
Kamat Lokaruchi,400,4,2,6am – 11pm (Mon-Sun),738,4.2,Mysore Road,1,1,0, ,0,1
Kamat Minerva,300,3, ,7am – 10pm (Mon-Sun),73,2.6,Basavanagudi, ,1,1, ,0,1
Kamat Restaurant,400,5, ,"8am – 11pm (Mon-Sat),7am – 11pm (Sun)",29,3.6,City Market,1,1,1,1,0,1
Kamat Swaad,400,3, ,7am – 10pm (Mon-Sun),188,3.9,JP Nagar,1,1,1, ,0,1
Kamat Upahaar,200,2, ,7am – 10pm (Mon-Sun),25,3,Jalahalli, ,1,0, ,0,1
Kamat Yatrinivas,600,3, ,7am – 11pm (Mon-Sun),238,3,Whitefield,1,1,1, ,0,1
Kamat's Palate Korner,600,2, ,"12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",107,4,Richmond Road,1,1,0, ,0,1
Kanhaiyas,150,1, ,8am – 10:30pm (Mon-Sun),10,3.6,Bannerghatta Road,1,1,1, ,0,1
Kannur Food Point,200,2, ,8am – 10:30pm (Mon-Sun),92,4,BTM, ,1,0,1,0,1
Kannur Restaurant,400,3, ,11am – 11pm (Mon-Sun),33,3.7,Kammanahalli,1,1,0, ,0,1
Kanteen 038,200,2, ,8am – 10pm (Mon-Sun),37,3.9,Indiranagar,1,1,1, ,0,1
Kanti Sweets,400,2, ,8:30am – 10:30pm (Mon-Sun),112,3.9,Indiranagar,2,1,1,59,0,1
Kanti's,150,2, ,8:30am – 10pm (Mon-Sun),61,3.1,Thippasandra, ,1,0,3,0,1
Kanua,1400,3,1,"11am – 3pm, 7pm – 11pm (Mon-Sun)",869,4.4,Sarjapur Road,1,1,1, ,0,1
Kapoor's Biriyani,600,2, ,12noon – 4am (Mon-Sun),319,3.1,BTM,1,1,1, ,0,1
Kapoor's Cafe,800,1,2,"10am – 3pm, 7pm – 11pm (Mon-Fri),10am – 4pm...",2863,4.2,Whitefield,1,1,0,2,0,1
Karachi Bakery,500,1, ,10am – 10:30pm (Mon-Sun),30,3.9,Indiranagar,1,0,0, ,1,1
Karachi Bakery,400,2, ,11am – 11pm (Mon-Sun),31,4,"Phoenix Market City Mall, Whitefield",1,1,0,2,0,1
Karahi Kitchen,300,3, ,11am – 10:45pm (Mon-Sun),146,3.8,Koramangala 5th Block, ,1,1, ,0,1
Karama Restaurant,750,3,2,7am – 1am (Mon-Sun),2709,4.4,Frazer Town,1,1,1,5,0,1
Karanji,400,3, ,11:30am – 11:30pm (Mon-Sun),6,3.2,Magadi Road,1,1,0, ,0,1
Karavali Deluxe,450,2,1,11:30am – 11:30pm (Mon-Sun),22,3.7,Yeshwantpur,1,0,0, ,0,1
Karavali Family Restaurant,350,6, ,"11am – 4pm, 6pm – 11pm (Mon-Sun)",87,3.4,Jayanagar,1,1,1, ,0,1
Karavali Fish Center,300,2, ,11am – 10pm (Mon-Sun),10,3.4,Banashankari,1,1,0, ,0,1
Karavali Fish Paradise,400,2, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",27,3.7,Vijay Nagar,1,1,0, ,0,1
Karavali Fishland,500,3, ,11am – 11pm (Mon-Sun),25,3.5,Electronic City,1,1,0, ,0,0
Karavali FishLand,600,4, ,"Closed (Mon),11am – 11pm (Tue-Sun)",21,3.6,Kengeri,1,1,1, ,0,1
Karavali Kolimane,350,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",24,3.6,Wilson Garden, ,1,0, ,0,1
Karavali Lunch Home,400,1, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",6,3.3,Majestic,1,1,0, ,0,1
Karavali Lunch Home,500,3, ,11:30am – 11:30pm (Mon-Sun),29,3.6,Nagarbhavi,1,1,0, ,0,1
Karavali Lunch Home,350,2, ,"12:30pm – 4pm, 5:30pm – 10:30pm (Mon-Sun)",43,3.6,Kumaraswamy Layout,1,1,1, ,0,1
Karavali Naati Mane,350,1, ,"11am – 4pm, 6pm – 11pm (Mon-Sun)",36,3,Sarjapur Road,1,1,1, ,0,1
Karavalli - The Gateway Hotel,3500,4,3,"12:30pm – 3pm, 6:30pm – 11:30pm (Mon-Sun)",637,4.5,"The Gateway Hotel, Residency Road",1,1,1, ,0,1
Kargeens,600,3,1,"10am – 11:30pm (Mon),10am – 1am (Tue-Sun)",940,4.1,Koramangala 6th Block,1,1,1,1,0,1
Karibu - The Zuri,2000,2,1,24 Hours (Mon-Sun),247,3.8,The Zuri Hotels,1,1,1, ,0,1
Karigiri Refreshments,300,1, ,"Closed (Mon),7:15am – 9:15pm (Tue-Sun)",8,3.7,Rajajinagar,1,0,0, ,0,0
Karma Kaapi,250,2, ,"Closed (Mon),10am – 10pm (Tue-Sun)",156,4.3,Jayanagar,1,1,1, ,0,1
Karnataka Biryani Paradise,500,1, ,12:30pm – 11:30pm (Mon-Sun),64,3.4,Nagarbhavi,1,1,1, ,0,1
Karnataka Biryani Point,250,2, ,11am – 11pm (Mon-Sun),4,3.3,Basaveshwara Nagar,1,0,0,1,0,1
Karnataka Biryani Point,300,1, ,11am – 11:30pm (Mon-Sun),12,3.4,RT Nagar,1,1,0, ,0,1
Karnataka Hindu Military Hotel,300,1, ,7:30am – 11pm (Mon-Sun),8,3.4,Kengeri,1,1,0, ,0,1
Kartik's Mithai Shoppe,150,2,1,9am – 10pm (Mon-Sun),104,4.2,Indiranagar,2,1,1,3,0,1
Kasipu,700,2, ,11am – 11pm (Mon-Sun),207,4,Jalahalli,1,1,0, ,0,1
Kataria's Home Food,400,1, ,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",39,3.2,BTM, ,1,1,1,0,1
Kava - Fairfield by Marriott,1500,3, ,6am – 11pm (Mon-Sun),241,3.9,Courtyard & Fairfield by Marriott,1,1,1, ,0,1
Kavali,300,2, ,"7am – 12:30pm, 5pm – 9:30pm (Mon, Wed, Thu, Fri...",41,4,Banashankari,1,1,0, ,0,1
Kavya Sagar,250,2, ,7am – 10pm (Mon-Sun),10,3,Richmond Road,1,1,0, ,0,1
Kawaii,500,2,1,"12noon – 10pm (Mon, Wed, Thu, Fri, Sat, Sun), 6pm...",105,4.1,HSR,1,1,1, ,0,1
Kazé,3000,3,2,12:30pm – 1am (Mon-Sun),751,4.4,Lavelle Road,1,1,1, ,0,1
KBC - Kebab Biryani Curry,400,4,1,7am – 11pm (Mon-Sun),15,3.4,KR Puram,1,1,1, ,0,1
KC Das,100,2, ,"9am – 2:30pm, 3pm – 8pm (Mon-Sun)",355,3.9,MG Road,2,1,1,15,0,1
Kebab Ganj,300,2, ,11am – 6am (Mon-Sun),7,3.5,Koramangala 6th Block,1,1,0, ,0,1
Kebabs & Kurries - ITC Gardenia,3500,2, ,"12:30pm – 2:30pm, 7pm – 11:30pm (Mon-Sun)",337,4.3,ITC Gardenia,1,0,0, ,0,1
Kebarbiq,800,5, ,12noon – 11:30pm (Mon-Sun),137,4,Koramangala 7th Block,1,1,1, ,0,0
Kedia's Fun Food,200,1,1,10am – 10pm (Mon-Sun),580,4.3,Jayanagar,1,1,1,1,0,1
Keep It Straight Cafe,500,3,1,"12:30pm – 11:15pm (Mon-Thu),12:30pm – 11:58pm...",194,3.9,HSR,1,1,1, ,0,1
Kenny's Restaurant,450,1, ,"12:30pm – 3pm, 6pm – 11pm (Mon-Sun)",84,3.6,Banaswadi,1,1,1,3,0,1
Kentacky Chicken Corner,300,2, ,5pm – 12midnight (Mon-Sun),83,3.9,Richmond Road,1,1,0, ,0,1
Kentaky Fast Food,350,3, ,"11:30am – 3:30pm, 6pm – 11pm (Mon-Sun)",39,3,Basaveshwara Nagar,1,1,0, ,0,0
Kerala Foods,250,1, ,8am – 10:30pm (Mon-Sun),8,3.4,Vasanth Nagar,1,1,0, ,0,1
Kerala Kitchen,200,2, ,9am – 10pm (Mon-Sun),28,3.2,Brigade Road,1,1,1, ,0,1
Kerala Kitchen,550,4, ,8:30am – 11pm (Mon-Sun),82,3.4,Marathahalli,1,1,1, ,0,1
Kerala Mess,300,3, ,7:30am – 10:30pm (Mon-Sun),8,3.2,Marathahalli,1,1,0, ,0,1
Kerala Mess,200,1, ,8am – 11pm (Mon-Sun),18,3.5,Koramangala 1st Block,1,1,1, ,0,1
Kerala Mess,300,1, ,8am – 10pm (Mon-Sun),32,3.6,Indiranagar,1,1,0, ,0,1
Kerala Mess Upahar,300,2, ,"7am – 3:30pm, 6:30pm – 10pm (Mon-Sat),7am –...",115,3.6,Bellandur,1,1,1, ,0,1
Kerala Mess Upahar,300,2, ,"7am – 3:30pm, 6:30pm – 10pm (Mon-Sat),7am –...",115,3.6,Bellandur,1,1,1, ,0,1
Kerala Panoor Restaurant,350,4, ,"7am – 11pm (Mon-Sat),7am – 3:30pm (Sun)",110,3.5,Bellandur, ,1,1, ,1,1
Kerala Restaurant,450,2, ,8am – 11pm (Mon-Sun),63,3.3,Whitefield,1,1,1, ,0,1
Kerala Tiffin,300,1, ,7am – 11pm (Mon-Sun),128,3.6,Whitefield,1,1,1, ,0,1
Kesar Rajasthani Parotha Point,200,2, ,11am – 11pm (Mon-Sun),28,3.9,Basavanagudi,1,1,0, ,0,1
Kesar Restaurant,200,3, ,11am – 10:30pm (Mon-Sun),48,3.6,JP Nagar,1,1,1, ,0,1
Kesar Sweet Shop and Fast Food,500,3,1,7:30am – 10pm (Mon-Sun),1079,4.1,Brookefield,1,1,0,2,0,1
Kesariya,1200,1,1,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",1145,4.2,JP Nagar,2,1,1,1,0,1
Keshava Kabab Centre,200,1, ,"1pm – 3:30pm, 7pm – 10:30pm (Mon-Sun)",6,3.2,JP Nagar,1,1,0, ,0,1
Keto Kitchen,500,7,1,8am – 10pm (Mon-Sun),122,3.8,Kalyan Nagar,1,1,1,2,0,1
Kettle & Kegs,200,1, ,9am – 11pm (Mon-Sun),9,3.4,Rajajinagar,2,1,1,36,0,1
Kettle On,400,4,1,8:30am – 10pm (Mon-Sun),103,3.7,Electronic City,1,1,1, ,0,1
Kettuvallam,500,1, ,8am – 11pm (Mon-Sun),86,2.8,Kammanahalli,1,1,1, ,0,0
Keventers,400,1, ,11am – 11pm (Mon-Sun),26,3.7,Kalyan Nagar,1,1,1,29,1,1
Keys Cafe - Keys Hotel,1200,3, ,"7am – 11am, 12noon – 3pm, 7pm – 11pm (Mon-Sun)",107,3.8,Keys Hotel - Electronic City, ,1,0,1,0,1
KF's Biryani's and Kababs,400,2, ,11am – 11pm (Mon-Sun),16,3.5,Koramangala 4th Block,1,1,1, ,0,1
KFC,400,2, ,11am – 11pm (Mon-Sun),451,3.9,"More MegaStore, Marathahalli",1,1,0,42,1,1
Khai Khai,450,1, ,8am – 10pm (Mon-Sun),32,3.6,HSR,1,1,1, ,0,1
Khan Saheb Grills and Rolls,350,2, ,12:30pm – 11:30pm (Mon-Sun),57,3.9,Hosur Road,1,1,1,10,0,1
Khatta Meetha Teekha,300,3, ,10am – 10pm (Mon-Sun),122,4,Koramangala 6th Block,1,1,1,2,0,1
Khawa Karpo,350,3, ,12:30pm – 10:30pm (Mon-Sun),943,4.3,Koramangala 5th Block,1,1,1, ,0,1
Khazana Food Paradise,300,3,1,12noon – 11pm (Mon-Sun),329,4.1,Richmond Road, ,1,0, ,0,1
Kholi Mane,450,4, ,"11am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",43,3.6,Basavanagudi,1,1,1, ,0,1
KHOPCHA,200,3, ,12:30pm – 10pm (Mon-Sun),135,4,Sahakara Nagar,1,1,1, ,0,1
Khud's Mughlai Family Restaurant,450,2, ,12:30pm – 11:30pm (Mon-Sun),301,3.1,Rajajinagar,1,1,1, ,0,1
Khyma Biryani,400,1, ,"12noon – 10:30pm (Mon-Fri),12:30pm – 11:30pm...",234,3.9,Kalyan Nagar,1,1,1, ,0,1
Kichukkhon,250,2, ,"12:30pm – 3:30pm, 5:30pm – 11:30pm (Mon-Sun)",48,3,Marathahalli,1,1,0, ,0,1
Kickin Burger,400,1, ,10:30am – 11pm (Mon-Sun),22,3.1,Jayanagar, ,1,1, ,0,1
Kidambi's Kitchen,300,1, ,11:45am – 3:30pm (Mon-Sun),52,3.5,Banashankari,1,1,0, ,0,1
Kidilum,450,3, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",28,3.5,Marathahalli, ,1,1, ,0,1
Kidilum,350,2, ,"8am – 10:30am, 12noon – 3:30pm, 7pm – 10:30pm...",184,3.7,Whitefield,1,1,1, ,0,1
Kids Tiffin,400,1, ,7am – 10pm (Mon-Sun),6,3.1,HSR,1,1,0, ,0,1
Kijiji - Chal Yaha Khate Hai,400,3, ,10am – 11pm (Mon-Sun),273,3.7,Nagawara,1,1,1, ,0,1
Kiko,800,7,1,"12noon – 10:30pm (Mon-Fri),11:45am – 10:30pm...",10,3.5,Kammanahalli, ,1,1, ,0,1
Kim Lee Restaurant,650,2, ,"12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",259,3.8,Indiranagar, ,1,0,1,0,1
Kinara Tiffany,100,1, ,"7am – 11am, 4pm – 8pm (Mon-Sun)",15,3.6,Vasanth Nagar,1,1,0,2,0,1
King,300,2, ,"7pm – 11pm (Mon),9:30am – 4pm, 6pm – 10:45pm...",532,3.6,Electronic City,1,1,1, ,0,1
King Fish,500,2, ,11am – 11pm (Mon-Sun),33,3.6,Nagarbhavi,1,1,0, ,0,0
King Kong,350,2, ,11:30am – 11pm (Mon-Sun),43,3.8,Frazer Town,1,0,0, ,0,1
Kinpeetos,300,2, ,11am – 11pm (Mon-Sun),59,3.9,Koramangala 5th Block, ,1,1, ,0,1
