Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Aangan - Ramanashree California,800,1, ,11am – 11pm (Mon-Sun),10,3.1,Ramanashree California,1,1,0, ,0,1
Aapni Rasoi,500,2,1,"11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)",121,3.2,Bellandur,1,1,1, ,0,1
Aaranya Restaurant,800,3, ,11:30am – 12:30pm (Mon-Sun),212,3.4,HSR,1,1,1, ,0,1
Aarti Paratha & Rolls Corner,150,2, ,11am – 11pm (Mon-Sun),11,3.4,New BEL Road,1,1,0, ,0,1
Aarya Pork Hotel,300,3, ,12noon – 11:30pm (Mon-Sun),8,3.2,BTM,1,1,0, ,0,1
Aashish Foods,150,1, ,9am – 10:30pm (Mon-Sun),31,3.8,Marathahalli,1,1,1,1,0,1
Aastha Bengali Mess,200,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",110,3.9,Yeshwantpur,1,1,0, ,0,1
AB's - Absolute Barbecues,1600,4,2,"12noon – 4pm, 6:30pm – 12midnight (Mon-Sun)",11160,4.8,Marathahalli,1,1,1,4,0,1
ABC Grand,700,3, ,"12noon – 4:30pm, 6pm – 11pm (Mon-Sun)",53,3.5,Indiranagar,1,1,1, ,0,1
Abhiruchi,400,3, ,11:30pm – 1am (Mon-Sun),31,2.9,HSR,1,1,1, ,0,1
Abhiruchi,650,4, ,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",158,3.8,Kammanahalli,1,1,0, ,0,1
Abhiruchi Homely Meals,300,2, ,7am – 10pm (Mon-Sun),50,3.7,Yelahanka,1,1,1, ,0,1
Abhiruchi Hotel,550,2, ,11:30am – 3am (Mon-Sun),402,3.1,Bannerghatta Road,1,0,0, ,0,1
Abhiruchi Hotel,550,6, ,11:30am – 2am (Mon-Sun),661,3.2,BTM,1,1,1, ,0,1
Abhiruchi Hotel,550,6, ,11:30am – 2am (Mon-Sun),661,3.2,BTM,1,1,1, ,0,1
Abhiruchi Restaurant,400,2, ,11:30am – 10:30pm (Mon-Sun),159,3.7,Whitefield,1,1,1,2,0,0
Absolute Chinese,600,2,1,"12noon – 3:30pm, 6pm – 10:30pm (Mon-Fri),12noon...",200,3.8,Rajajinagar,1,1,1, ,0,1
Absolute Shawarma,150,1, ,1pm – 11pm (Mon-Sun),108,3.8,Marathahalli,1,1,1,1,0,1
Absolute Waffles,200,2, ,10am – 10pm (Mon-Sun),47,3.8,New BEL Road,1,1,1, ,0,1
Abzain Paradise,300,1, ,11am – 11pm (Mon-Sun),42,2.9,Sanjay Nagar, ,1,1, ,0,1
Achayyan's,350,2, ,"12noon – 4pm, 7pm – 10:30pm (Mon-Sat),12noon –...",394,3.8,Indiranagar,1,1,1, ,0,1
Ackley Kitchen,500,3, ,"24 Hours (Mon-Sat),12midnight – 6am, 6pm –...",33,3.6,Kaggadasapura,1,1,1, ,0,1
Adarsh Bakery,300,2, ,7am – 10pm (Mon-Sun),9,3.1,Electronic City,1,1,0, ,0,1
ADB Donne Biryani,350,2, ,"(Mon),11am – 11pm (Tue-Sun)",8,3.3,Nagarbhavi,1,0,0, ,0,1
Adda - The Restaurant,500,3, ,12noon – 11pm (Mon-Sun),188,3.5,Bommanahalli,1,1,1, ,0,1
Addhuri Udupi Bhojana,300,2, ,"11:30am – 3:30pm, 7pm – 10pm (Mon-Sun)",85,3.7,Banashankari,1,1,0, ,0,1
Adhvika Biryani Corner,300,2, ,"Closed (Mon),11am – 10:30pm (Tue-Sun)",23,3.5,Nagarbhavi,1,0,0, ,0,1
Adithya,450,3, ,8am – 11pm (Mon-Sun),145,3.7,JP Nagar,1,1,1,2,0,0
Adithya Biriyanis,300,3, ,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",126,3.6,Yelahanka, ,1,1, ,0,1
Adithya Veg,300,2, ,7am – 10pm (Mon-Sun),8,3.2,Jayanagar,1,1,0, ,0,1
Aditya Delights,300,3, ,11am – 11pm (Mon-Sun),50,3.7,New BEL Road,2,1,1, ,0,1
Aditya Sweets,200,2, ,9am – 9:30pm (Mon-Sun),8,3.3,Whitefield,1,1,1, ,0,0
Aditya Uphar,200,2, ,10:30am – 10:30pm (Mon-Sun),28,3.5,JP Nagar,1,1,0, ,0,1
Adupadi,450,2, ,12noon – 9pm (Mon-Sun),25,3,Whitefield,1,1,0, ,0,1
Afoozoo - Ginger Hotel,800,2, ,7am – 11pm (Mon-Sun),40,3.5,Whitefield,1,1,0, ,0,1
Agape,300,2, ,5pm – 11:30pm (Mon-Sun),54,4,Kalyan Nagar,1,1,0, ,0,1
Agarwal Food Service,400,3,1,"11am – 1am (Mon),11am – 12midnight (Tue-Sun)",9,3.4,HSR,1,1,1,2,1,1
Agent Jack's Bar,1300,3, ,12noon – 1am (Mon-Sun),345,4.1,Kalyan Nagar,1,1,1,1,0,1
Agraharam Meal,300,2, ,10am – 10pm (Mon-Sun),53,3.7,Kaggadasapura,1,1,0, ,0,1
Ahaan Restaurant,300,2, ,12noon – 4am (Mon-Sun),62,2.6,RT Nagar, ,1,1, ,0,1
Aioli,1400,4,1,"11:45am – 3:30pm, 6:45pm – 11:30pm (Mon-Sun)",759,4.2,Kalyan Nagar,1,1,1, ,0,1
Airlines Hotel,400,2, ,7am – 10pm (Mon-Sun),829,4,Lavelle Road,1,1,1, ,0,0
Aishwarya Open Air Family Restaurant,500,2, ,11am – 11pm (Mon-Sun),9,3.6,Old Madras Road,1,0,0, ,0,1
Aishwarya Parkland,500,2, ,11am – 11pm (Mon-Sun),59,2.9,Bannerghatta Road,1,1,0, ,0,1
Aishwarya Sweets,250,2, ,8am – 10pm (Mon-Sun),18,3.6,Rajajinagar,1,1,0, ,0,1
Aithal Holige Mane,150,1, ,11am – 10pm (Mon-Sun),4,3.3,Banashankari,1,0,0, ,0,1
Aithals Mithra Koota,100,1, ,"Closed (Mon),6:30am – 12:30pm, 4pm – 9pm (Tue-Sun)",10,3.4,Banashankari,1,1,0, ,0,1
Ajji Mane,150,2, ,8am – 9:30pm (Mon-Sun),5,3.5,Rajarajeshwari Nagar,1,0,0, ,0,0
AKS Family Dhaba And Restaurant,300,3,1,11am – 12midnight (Mon-Sun),31,3.8,Marathahalli,1,1,1, ,0,1
Akshatha Nati Style,500,3, ,"12noon – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",17,3.7,Vijay Nagar,1,1,0, ,0,1
Akshay Hotel - Gowdru Mane Oota,300,1, ,"Closed (Mon),12noon – 10:30pm (Tue-Sun)",4,3.3,Rajarajeshwari Nagar,1,1,0, ,0,1
Akshaya Deluxe,450,2, ,12noon – 11pm (Mon-Sun),297,3.8,New BEL Road,1,1,1, ,0,1
Akshaya Donne Biriyani,300,3,1,"Closed (Mon),11:30am – 4:30pm, 6:30pm – 10:30pm...",38,3.1,JP Nagar,2,1,1, ,0,1
Akshaya Grand,750,1, ,11:30am – 11:30pm (Mon-Sun),27,3.1,BTM,1,1,1, ,0,1
Akshya Family Restaurant,400,2, ,1pm – 11pm (Mon-Sun),5,3.2,Yelahanka,1,1,0, ,0,1
Akss - India Reimagined,1200,2, ,"12noon – 3:30pm, 6:45pm – 11pm (Mon-Sun)",175,4.3,Sadashiv Nagar,1,1,1, ,0,0
Al Amal Cafe,300,2, ,12noon – 10pm (Mon-Sun),62,3.9,Kammanahalli,2,1,0, ,0,1
Al Amanah Cafe,300,2, ,"11:30am – 11:30pm (Mon-Thu),4pm – 11:30pm...",1171,4.3,Kammanahalli,1,1,1, ,1,1
Al Asala Hotel,300,1, ,8am – 11pm (Mon-Sun),13,3.5,Kumaraswamy Layout,1,1,0, ,0,1
Al Daaz,350,2, ,"12noon – 12:30AM (Mon, Tue, Wed, Thu, Sat, Sun)...",424,4.1,HSR,1,1,0, ,0,1
Al Falah,350,2,1,"10am – 11pm (Mon),10am – 10pm (Tue-Sun)",361,3.7,Yelahanka,1,0,0, ,0,1
Al Fanar,350,3, ,12noon – 11pm (Mon-Sun),45,3.8,RT Nagar,1,1,0, ,0,1
Al Hayath,200,3, ,10am – 10pm (Mon-Sun),14,3.4,BTM,1,1,0, ,0,1
Al Khair,400,3, ,11am – 11pm (Mon-Sun),58,3.7,RT Nagar,1,1,1, ,0,1
Al Khansah,550,5, ,11:30am – 12midnight (Mon-Sun),350,4,Bellandur,1,1,1, ,1,1
Al Madhina Roll House,350,2, ,12noon – 12:30AM (Mon-Sun),5,3.4,Kalyan Nagar,1,1,0, ,0,1
Al Madina  Roll House,150,1, ,11am – 11pm (Mon-Sun),7,3.4,Kalyan Nagar,1,1,1, ,0,1
Al Noor,250,2, ,12noon – 11:30pm (Mon-Sun),5,3.3,RT Nagar,1,1,0, ,0,1
Al Noor,350,2, ,1pm – 12midnight (Mon-Sun),13,3.6,Shivajinagar, ,1,0, ,0,1
Al Sadique,450,3, ,12noon – 11pm (Mon-Sun),168,3.8,Magadi Road,1,1,1, ,0,1
Al Zaiqa Hotel,200,3, ,12:45pm – 12midnight (Mon-Sun),14,3.5,Marathahalli,2,1,1, ,0,1
Al-Badia Restaurant,500,1, ,12noon – 1am (Mon-Sun),67,4.1,Kammanahalli,1,1,0, ,0,1
Al-Baik Kabab Corner,350,2, ,"Closed (Mon),11am – 11pm (Tue-Sun)",19,3.1,Yeshwantpur,2,0,0, ,0,1
Al-Baik Tandoori Restaurant,400,2, ,"1pm – 11pm (Mon),11am – 11pm (Tue-Sun)",86,3.1,Nagawara,1,1,1, ,0,1
Al-Bek,650,4, ,1pm – 11pm (Mon-Sun),581,4,Jayanagar,1,1,1,9,1,1
Al-Food Palace,400,3, ,11:30am – 12midnight (Mon-Sun),7,3.4,Nagawara,2,1,0, ,0,1
Al-Food Palace,400,3, ,11am – 11pm (Mon-Sun),15,3.6,RT Nagar,1,1,1, ,0,1
Al-Madina Restaurant,400,4, ,6am – 1am (Mon-Sun),17,3.4,City Market,1,1,0, ,0,1
Al-Sidique,400,2, ,11am – 11pm (Mon-Sun),263,3.9,Vijay Nagar,1,1,1, ,0,1
Alampur Bar And Restaurant,900,3, ,12noon – 11pm (Mon-Sun),34,3.7,"Hotel Chalukya, Race Course Road",1,1,0, ,0,1
Alankrutha,500,4, ,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",207,3.6,BTM,1,1,1, ,0,1
Alba - JW Marriott Bengaluru,4000,1,3,"12:30pm – 3pm, 7pm – 11pm (Mon-Sun)",515,4.4,"JW Marriott Bengaluru, Lavelle Road",1,1,1, ,0,1
Albert Bakery,150,2, ,3pm – 9pm (Mon-Sun),311,4.3,Frazer Town, ,1,0, ,0,1
Alchemy - The Chancery Pavilion,2000,1,3,11am – 1am (Mon-Sun),331,4.4,"The Chancery Pavilion, Residency Road",2,1,1, ,0,1
Alchemy Coffee Roasters,500,1, ,10am – 10:30pm (Mon-Sun),607,4.1,Jayanagar,1,1,0, ,0,1
Alfa Family Restaurant,400,3, ,8am – 11pm (Mon-Sun),20,2.8,Wilson Garden,1,1,0, ,0,1
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,2000,1, ,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...",70,3.8,Sheraton Grand Bangalore Hotel at Brigade Gateway,1,1,1, ,0,1
Alibaba Cafe and Restaurant,700,2, ,12noon – 11:30pm (Mon-Sun),55,2.9,Kalyan Nagar,1,1,0,1,0,1
Alibi - Maya International Hotel,1200,3, ,11am – 11pm (Mon-Sun),224,1.8,Church Street,1,1,0, ,0,1
Alif Restaurant,500,2, ,12noon – 11pm (Mon-Sun),20,3.4,JP Nagar, ,0,0, ,0,1
Aligarh House,400,4,2,"12noon – 3pm, 6pm – 11:30pm (Mon-Sun)",392,4.4,HSR,1,1,1,1,1,1
All Saints Bakery,200,1, ,"7:30am – 9pm (Mon-Sat),7:30am – 12noon (Sun)",19,3.6,Brigade Road,2,1,0, ,0,1
All Shook Up!,300,2, ,10:30am – 11:30pm (Mon-Sun),71,3.9,Domlur,1,1,1,2,0,1
